Day,alpha_p,alpha_n
"Day 0, Hour 0",0.9,0.9
"Day 0, Hour 1",0.994863239912563,0.8051367600874371
"Day 0, Hour 2",1.088669613301692,0.7113303866983082
"Day 0, Hour 3",1.1803740281400523,0.6196259718599477
"Day 0, Hour 4",1.2689548102134482,0.5310451897865518
"Day 0, Hour 5",1.3534250855411967,0.44657491445880343
"Day 0, Hour 6",1.4328437750888745,0.36715622491112554
"Day 0, Hour 7",1.5063260792819015,0.2936739207180985
"Day 0, Hour 8",1.573053335512528,0.22694666448747203
"Day 0, Hour 9",1.632282138818244,0.1677178611817559
"Day 0, Hour 10",1.6833526241185977,0.1166473758814024
"Day 0, Hour 11",1.7256958177384407,0.07430418226155933
"Day 0, Hour 12",1.7588399763146607,0.04116002368533933
"Day 0, Hour 13",1.782415842464958,0.017584157535041944
"Day 0, Hour 14",1.7961607586655308,0.0038392413344691123
"Day 0, Hour 15",1.7999215935051698,7.840649483037421e-05
"Day 0, Hour 16",1.7936564477145063,0.00634355228549377
"Day 0, Hour 17",1.7774351209636414,0.02256487903635873
"Day 0, Hour 18",1.7514383342275752,0.04856166577242471
"Day 0, Hour 19",1.7159557163830312,0.0840442836169687
"Day 0, Hour 20",1.671382577467894,0.12861742253210595
"Day 0, Hour 21",1.6182155045522157,0.1817844954477844
"Day 0, Hour 22",1.557046829286963,0.24295317071303701
"Day 0, Hour 23",1.4885580287672715,0.31144197123272865
"Day 1, Hour 0",1.4135121332308396,0.3864878667691606
"Day 1, Hour 1",1.3327452251769234,0.46725477482307654
"Day 1, Hour 2",1.2471571246138016,0.5528428753861985
"Day 1, Hour 3",1.1577013642099017,0.6422986357900985
"Day 1, Hour 4",1.0653745660349132,0.7346254339650868
"Day 1, Hour 5",0.9712053382440823,0.8287946617559178
"Day 1, Hour 6",0.8999999999999999,0.9000000000000001
"Day 1, Hour 7",0.8999999999999999,0.9000000000000001
"Day 1, Hour 8",0.8681668263532419,0.9318331736467581
"Day 1, Hour 9",0.7771487051495346,1.0228512948504656
"Day 1, Hour 10",0.6895046347941979,1.1104953652058023
"Day 1, Hour 11",0.6062110534103797,1.1937889465896203
"Day 1, Hour 12",0.5281959305452169,1.2718040694547832
"Day 1, Hour 13",0.45632842870837786,1.343671571291622
"Day 1, Hour 14",0.39140922007682266,1.4085907799231774
"Day 1, Hour 15",0.3341615662468631,1.465838433753137
"Day 1, Hour 16",0.28522326041356416,1.514776739586436
"Day 1, Hour 17",0.24513952174924702,1.554860478250753
"Day 1, Hour 18",0.2143569211444627,1.5856430788555373
"Day 1, Hour 19",0.19321840598445217,1.6067815940155479
"Day 1, Hour 20",0.18195947938979518,1.6180405206102049
"Day 1, Hour 21",0.180705576488141,1.619294423511859
"Day 1, Hour 22",0.1894706669478422,1.610529333052158
"Day 1, Hour 23",0.20815709934259008,1.59184290065741
"Day 2, Hour 0",0.23655668908098082,1.5634433109190193
"Day 2, Hour 1",0.27435303778044384,1.525646962219556
"Day 2, Hour 2",0.32112505824550297,1.478874941754497
"Day 2, Hour 3",0.376351665778773,1.4236483342212272
"Day 2, Hour 4",0.439417583559026,1.360582416440974
"Day 2, Hour 5",0.5096201974089155,1.2903798025910844
"Day 2, Hour 6",0.5861773835837332,1.2138226164162669
"Day 2, Hour 7",0.668236222372209,1.131763777627791
"Day 2, Hour 8",0.7548825004315624,1.0451174995684376
"Day 2, Hour 9",0.8451508959917852,0.9548491040082149
"Day 2, Hour 10",0.9,0.9
"Day 2, Hour 11",0.9,0.9
"Day 2, Hour 12",0.9474978124174159,0.8525021875825841
"Day 2, Hour 13",1.041964266543694,0.7580357334563063
"Day 2, Hour 14",1.1348491040082145,0.6651508959917856
"Day 2, Hour 15",1.2251174995684373,0.5748825004315627
"Day 2, Hour 16",1.3117637776277906,0.4882362223722095
"Day 2, Hour 17",1.3938226164162664,0.4061773835837337
"Day 2, Hour 18",1.4703798025910846,0.32962019740891535
"Day 2, Hour 19",1.5405824164409736,0.25941758355902644
"Day 2, Hour 20",1.6036483342212264,0.1963516657787735
"Day 2, Hour 21",1.6588749417544966,0.14112505824550337
"Day 2, Hour 22",1.7056469622195563,0.0943530377804439
"Day 2, Hour 23",1.7434433109190188,0.056556689080981215
"Day 3, Hour 0",1.7718429006574095,0.028157099342590475
"Day 3, Hour 1",1.7905293330521577,0.009470666947842377
"Day 3, Hour 2",1.7992944235118589,0.0007055764881411797
"Day 3, Hour 3",1.798040520610205,0.001959479389795016
"Day 3, Hour 4",1.786781594015548,0.013218405984452009
"Day 3, Hour 5",1.7656430788555373,0.03435692114446276
"Day 3, Hour 6",1.734860478250753,0.06513952174924698
"Day 3, Hour 7",1.6947767395864357,0.10522326041356445
"Day 3, Hour 8",1.6458384337531367,0.1541615662468634
"Day 3, Hour 9",1.588590779923177,0.21140922007682295
"Day 3, Hour 10",1.5236715712916227,0.27632842870837726
"Day 3, Hour 11",1.451804069454784,0.348195930545216
"Day 3, Hour 12",1.3737889465896207,0.4262110534103793
"Day 3, Hour 13",1.2904953652058027,0.5095046347941974
"Day 3, Hour 14",1.2028512948504655,0.5971487051495346
"Day 3, Hour 15",1.1118331736467584,0.6881668263532418
"Day 3, Hour 16",1.018455029846454,0.7815449701535461
"Day 3, Hour 17",0.9237571845928523,0.8762428154071478
"Day 3, Hour 18",0.9000000000000001,0.8999999999999999
"Day 3, Hour 19",0.9000000000000001,0.8999999999999999
"Day 3, Hour 20",0.8222986357900994,0.9777013642099006
"Day 3, Hour 21",0.732842875386199,1.0671571246138012
"Day 3, Hour 22",0.647254774823077,1.152745225176923
"Day 3, Hour 23",0.5664878667691606,1.2335121332308394
"Day 4, Hour 0",0.4914419712327287,1.3085580287672713
"Day 4, Hour 1",0.42295317071303684,1.377046829286963
"Day 4, Hour 2",0.36178449544778424,1.4382155045522158
"Day 4, Hour 3",0.30861742253210633,1.4913825774678937
"Day 4, Hour 4",0.2640442836169691,1.535955716383031
"Day 4, Hour 5",0.2285616657724251,1.571438334227575
"Day 4, Hour 6",0.20256487903635878,1.5974351209636413
"Day 4, Hour 7",0.18634355228549393,1.6136564477145061
"Day 4, Hour 8",0.1800784064948303,1.6199215935051696
"Day 4, Hour 9",0.18383924133446905,1.616160758665531
"Day 4, Hour 10",0.1975841575350421,1.602415842464958
"Day 4, Hour 11",0.22116002368533894,1.578839976314661
"Day 4, Hour 12",0.25430418226155904,1.545695817738441
"Day 4, Hour 13",0.296647375881402,1.5033526241185982
"Day 4, Hour 14",0.3477178611817555,1.4522821388182445
"Day 4, Hour 15",0.4069466644874718,1.3930533355125283
"Day 4, Hour 16",0.47367392071809844,1.3263260792819016
"Day 4, Hour 17",0.5471562249111255,1.2528437750888746
"Day 4, Hour 18",0.6265749144588036,1.1734250855411963
"Day 4, Hour 19",0.7110451897865523,1.0889548102134476
"Day 4, Hour 20",0.7996259718599469,1.0003740281400533
"Day 4, Hour 21",0.8913303866983074,0.9086696133016926
"Day 4, Hour 22",0.9,0.9
"Day 4, Hour 23",0.9,0.9
